last_obs,v_inf,ip,h,range,n_imp,last_obs_jd,fullname,ps_max,ts_max,diameter,ps_cum,id,des
2021-10-17,13.0479646702663,2.417284e-05,28.79,2050-2089,13,2459504.5,(2021 UN),-6.46,0,0.0059,-6.25,bK21U00N,2021 UN
2022-01-08,2.86937586048646,3.02881e-05,27.70,2087-2121,11,2459587.5,(2021 US1),-6.49,0,0.0097,-6.24,bK21U01S,2021 US1
2022-01-31,2.52002686725537,0.0003177846,29.91,2107-2118,2,2459610.5,(2022 BY39),-6.31,0,0.0035,-6.31,bK22B39Y,2022 BY39
2021-12-03,20.4369591068205,8.67015e-08,24.84,2056-2118,5,2459551.5,(2021 WU4),-6.92,0,0.0361,-6.79,bK21W04U,2021 WU4
2021-11-28,6.87082961759413,5.3649935e-05,26.64,2065-2120,15,2459546.5,(2021 VA9),-5.38,0,0.016,-5.37,bK21V09A,2021 VA9
2021-11-12,10.5869319855506,6.4501e-06,27.37,2111-2117,3,2459530.5,(2021 UV1),-6.74,0,0.011,-6.63,bK21U01V,2021 UV1
2021-11-12,14.5639311194169,8.3191398e-05,25.76,2081-2102,18,2459530.5,(2021 VM1),-4.62,0,0.024,-4.53,bK21V01M,2021 VM1
2021-10-30,13.7738223007354,1.793896e-05,26.16,2092-2120,12,2459517.5,(2021 UW1),-5.56,0,0.02,-5.45,bK21U01W,2021 UW1
2021-11-07,8.26,8.993979e-05,28.31,2072-2083,3,2459525.5,(2021 VB2),-5.73,0,0.0074,-5.73,bK21V02B,2021 VB2
2021-11-16,9.10600612205406,3.41062e-05,27.38,2090-2109,4,2459534.5,(2021 VM22),-5.86,0,0.011,-5.84,bK21V22M,2021 VM22
2021-11-12,11.6511549834754,1.1498e-07,30.30,2084-2096,2,2459530.5,(2021 VD8),-9.62,0,0.0029,-9.58,bK21V08D,2021 VD8
2022-01-07,8.69402913676886,1.3797e-06,25.25,2106-2118,2,2459586.5,(2021 UZ6),-6.51,0,0.03,-6.31,bK21U06Z,2021 UZ6
2021-11-12,12.03,1.513e-07,26.23,2077-2077,1,2459530.5,(2021 VG1),-7.43,0,0.019,-7.43,bK21V01G,2021 VG1
2021-11-26,6.58069620999969,6.703667e-05,26.22,2073-2117,16,2459544.5,(2021 VP8),-5.22,0,0.019,-5.14,bK21V08P,2021 VP8
2021-12-02,16.0935752314203,1.70361e-06,27.68,2076-2090,9,2459550.5,(2021 WM4),-7.54,0,0.00987,-6.98,bK21W04M,2021 WM4
2021-12-02,4.31434330674334,9.63395e-07,30.41,2064-2120,17,2459550.5,(2021 WR4),-9.44,0,0.0028,-9.01,bK21W04R,2021 WR4
2022-02-04,7.4924590520807,3.44523e-07,25.52,2071-2121,6,2459614.5,(2021 XP2),-7.44,0,0.027,-6.98,bK21X02P,2021 XP2
2021-11-11,12.2212177090806,3.69415e-06,29.34,2044-2121,16,2459529.5,(2021 VY7),-7.67,0,0.0046,-7.35,bK21V07Y,2021 VY7
